categoria,item,quantidade,ano
ESPUMANTES,Espumante,0,1970
ESPUMANTES,Espumante,0,1971
ESPUMANTES,Espumante,0,1972
ESPUMANTES,Espumante,0,1973
ESPUMANTES,Espumante,0,1974
ESPUMANTES,Espumante,0,1975
ESPUMANTES,Espumante,0,1976
ESPUMANTES,Espumante,0,1977
ESPUMANTES,Espumante,0,1978
ESPUMANTES,Espumante,0,1979
ESPUMANTES,Espumante,0,1980
ESPUMANTES,Espumante,0,1981
ESPUMANTES,Espumante,0,1982
ESPUMANTES,Espumante,0,1983
ESPUMANTES,Espumante,0,1984
ESPUMANTES,Espumante,0,1985
ESPUMANTES,Espumante,0,1986
ESPUMANTES,Espumante,0,1987
ESPUMANTES,Espumante,0,1988
ESPUMANTES,Espumante,0,1989
ESPUMANTES,Espumante,0,1990
ESPUMANTES,Espumante,0,1991
ESPUMANTES,Espumante,0,1992
ESPUMANTES,Espumante,0,1993
ESPUMANTES,Espumante,0,1994
ESPUMANTES,Espumante,0,1995
ESPUMANTES,Espumante,0,1996
ESPUMANTES,Espumante,3035402,1997
ESPUMANTES,Espumante,3223462,1998
ESPUMANTES,Espumante,5555866,1999
ESPUMANTES,Espumante,4136072,2000
ESPUMANTES,Espumante,4019853,2001
ESPUMANTES,Espumante,3741548,2002
ESPUMANTES,Espumante,4204240,2003
ESPUMANTES,Espumante,4812109,2004
ESPUMANTES,Espumante,5705224,2005
ESPUMANTES,Espumante,6407879,2006
ESPUMANTES,Espumante,7011203,2007
ESPUMANTES,Espumante,7634215,2008
ESPUMANTES,Espumante,8742660,2009
ESPUMANTES,Espumante,9701727,2010
ESPUMANTES,Espumante,10308834,2011
ESPUMANTES,Espumante,11278858,2012
ESPUMANTES,Espumante,12194973,2013
ESPUMANTES,Espumante,12602610,2014
ESPUMANTES,Espumante,13886440,2015
ESPUMANTES,Espumante,12438243,2016
ESPUMANTES,Espumante,12022102,2017
ESPUMANTES,Espumante,11692300,2018
ESPUMANTES,Espumante,13762361,2019
ESPUMANTES,Espumante,13311450,2020
ESPUMANTES,Espumante,19001999,2021
ESPUMANTES,Espumante,17321031,2022
ESPUMANTES,Espumante,19609379,2023
ESPUMANTES,Espumante,0,2024
ESPUMANTES,Espumante  Moscatel,0,1970
ESPUMANTES,Espumante  Moscatel,0,1971
ESPUMANTES,Espumante  Moscatel,0,1972
ESPUMANTES,Espumante  Moscatel,0,1973
ESPUMANTES,Espumante  Moscatel,0,1974
ESPUMANTES,Espumante  Moscatel,0,1975
ESPUMANTES,Espumante  Moscatel,0,1976
ESPUMANTES,Espumante  Moscatel,0,1977
ESPUMANTES,Espumante  Moscatel,0,1978
ESPUMANTES,Espumante  Moscatel,0,1979
ESPUMANTES,Espumante  Moscatel,0,1980
ESPUMANTES,Espumante  Moscatel,0,1981
ESPUMANTES,Espumante  Moscatel,0,1982
ESPUMANTES,Espumante  Moscatel,0,1983
ESPUMANTES,Espumante  Moscatel,0,1984
ESPUMANTES,Espumante  Moscatel,0,1985
ESPUMANTES,Espumante  Moscatel,0,1986
ESPUMANTES,Espumante  Moscatel,0,1987
ESPUMANTES,Espumante  Moscatel,0,1988
ESPUMANTES,Espumante  Moscatel,0,1989
ESPUMANTES,Espumante  Moscatel,0,1990
ESPUMANTES,Espumante  Moscatel,0,1991
