pais,quantidade,valor,ano,categoria
Africa do Sul,0,0,1970,Espumantes
Africa do Sul,0,0,1971,Espumantes
Africa do Sul,0,0,1972,Espumantes
Africa do Sul,0,0,1973,Espumantes
Africa do Sul,0,0,1974,Espumantes
Africa do Sul,0,0,1975,Espumantes
Africa do Sul,0,0,1976,Espumantes
Africa do Sul,0,0,1977,Espumantes
Africa do Sul,0,0,1978,Espumantes
Africa do Sul,0,0,1979,Espumantes
Africa do Sul,0,0,1980,Espumantes
Africa do Sul,0,0,1981,Espumantes
Africa do Sul,0,0,1982,Espumantes
Africa do Sul,0,0,1983,Espumantes
Africa do Sul,0,0,1984,Espumantes
Africa do Sul,0,0,1985,Espumantes
Africa do Sul,0,0,1986,Espumantes
Africa do Sul,0,0,1987,Espumantes
Africa do Sul,0,0,1988,Espumantes
Africa do Sul,0,0,1989,Espumantes
Africa do Sul,0,0,1990,Espumantes
Africa do Sul,0,0,1991,Espumantes
Africa do Sul,0,0,1992,Espumantes
Africa do Sul,0,0,1993,Espumantes
Africa do Sul,0,0,1994,Espumantes
Africa do Sul,0,0,1995,Espumantes
Africa do Sul,0,0,1996,Espumantes
Africa do Sul,0,0,1997,Espumantes
Africa do Sul,0,0,1998,Espumantes
Africa do Sul,0,0,1999,Espumantes
Africa do Sul,0,0,2000,Espumantes
Africa do Sul,0,0,2001,Espumantes
Africa do Sul,0,0,2002,Espumantes
Africa do Sul,5546,6475,2003,Espumantes
Africa do Sul,59,259,2004,Espumantes
Africa do Sul,520,2320,2005,Espumantes
Africa do Sul,275,1460,2006,Espumantes
Africa do Sul,90,1073,2007,Espumantes
Africa do Sul,9212,30630,2008,Espumantes
Africa do Sul,10381,42463,2009,Espumantes
Africa do Sul,8121,37035,2010,Espumantes
Africa do Sul,20213,123099,2011,Espumantes
Africa do Sul,24954,133975,2012,Espumantes
Africa do Sul,26985,158325,2013,Espumantes
Africa do Sul,18659,114275,2014,Espumantes
Africa do Sul,19686,96316,2015,Espumantes
Africa do Sul,7394,50715,2016,Espumantes
Africa do Sul,4913,23919,2017,Espumantes
Africa do Sul,15368,74800,2018,Espumantes
Africa do Sul,17583,72077,2019,Espumantes
Africa do Sul,3574,14542,2020,Espumantes
Africa do Sul,6980,36677,2021,Espumantes
Africa do Sul,9882,64582,2022,Espumantes
Africa do Sul,7650,69382,2023,Espumantes
Africa do Sul,2018,19706,2024,Espumantes
Alemanha,0,0,1970,Espumantes
Alemanha,25,36,1971,Espumantes
Alemanha,2864,2479,1972,Espumantes
Alemanha,2900,3130,1973,Espumantes
Alemanha,1667,2128,1974,Espumantes
Alemanha,355,937,1975,Espumantes
Alemanha,1947,1880,1976,Espumantes
Alemanha,840,982,1977,Espumantes
Alemanha,420,1059,1978,Espumantes
Alemanha,1020,3901,1979,Espumantes
Alemanha,332,1175,1980,Espumantes
Alemanha,753,1860,1981,Espumantes
Alemanha,117270,101714,1982,Espumantes
Alemanha,215712,193026,1983,Espumantes
Alemanha,3360,3130,1984,Espumantes
Alemanha,0,0,1985,Espumantes
Alemanha,32490,37388,1986,Espumantes
Alemanha,1800,2000,1987,Espumantes
Alemanha,450,534,1988,Espumantes
Alemanha,9000,17431,1989,Espumantes
Alemanha,12613,29121,1990,Espumantes
Alemanha,11275,41978,1991,Espumantes
Alemanha,6059,13660,1992,Espumantes
Alemanha,39747,110948,1993,Espumantes
Alemanha,37942,84842,1994,Espumantes
Alemanha,75829,170816,1995,Espumantes
Alemanha,22766,68098,1996,Espumantes
Alemanha,8648,29238,1997,Espumantes
Alemanha,9403,45794,1998,Espumantes
Alemanha,1980,6690,1999,Espumantes
Alemanha,1130,3150,2000,Espumantes
Alemanha,6516,17537,2001,Espumantes
Alemanha,7034,19584,2002,Espumantes
Alemanha,3114,8638,2003,Espumantes
Alemanha,22785,77735,2004,Espumantes
Alemanha,888,5487,2005,Espumantes
Alemanha,1170,8087,2006,Espumantes
Alemanha,1980,11786,2007,Espumantes
Alemanha,1959,12516,2008,Espumantes
Alemanha,1170,8434,2009,Espumantes
Alemanha,1116,5753,2010,Espumantes
Alemanha,810,8800,2011,Espumantes
Alemanha,1260,9975,2012,Espumantes
Alemanha,1247,11745,2013,Espumantes
Alemanha,5093,34413,2014,Espumantes
Alemanha,3647,5589,2015,Espumantes
Alemanha,3420,8275,2016,Espumantes
Alemanha,4819,37116,2017,Espumantes
Alemanha,18376,82273,2018,Espumantes
Alemanha,26853,169989,2019,Espumantes
Alemanha,21174,65359,2020,Espumantes
Alemanha,19977,46237,2021,Espumantes
Alemanha,12447,26877,2022,Espumantes
Alemanha,322,5111,2023,Espumantes
Alemanha,15168,46600,2024,Espumantes
Argentina,4980,3836,1970,Espumantes
Argentina,8811,7543,1971,Espumantes
Argentina,35301,26909,1972,Espumantes
Argentina,39208,20230,1973,Espumantes
Argentina,2831,3035,1974,Espumantes
Argentina,11120,5732,1975,Espumantes
Argentina,0,0,1976,Espumantes
Argentina,0,0,1977,Espumantes
Argentina,180,210,1978,Espumantes
Argentina,13500,16500,1979,Espumantes
Argentina,0,0,1980,Espumantes
Argentina,0,0,1981,Espumantes
Argentina,0,0,1982,Espumantes
Argentina,0,0,1983,Espumantes
Argentina,0,0,1984,Espumantes
Argentina,0,0,1985,Espumantes
Argentina,270,990,1986,Espumantes
Argentina,0,0,1987,Espumantes
Argentina,315,840,1988,Espumantes
Argentina,5176,15000,1989,Espumantes
Argentina,4500,20000,1990,Espumantes
Argentina,24889,83975,1991,Espumantes
Argentina,7020,18650,1992,Espumantes
Argentina,17205,63626,1993,Espumantes
Argentina,8270,32089,1994,Espumantes
Argentina,17382,68936,1995,Espumantes
Argentina,567,3110,1996,Espumantes
Argentina,11139,26864,1997,Espumantes
Argentina,85497,308165,1998,Espumantes
Argentina,86940,360596,1999,Espumantes
Argentina,114511,326156,2000,Espumantes
Argentina,32464,90851,2001,Espumantes
Argentina,17096,32807,2002,Espumantes
Argentina,143659,301329,2003,Espumantes
Argentina,1008169,2760067,2004,Espumantes
Argentina,1135922,2943342,2005,Espumantes
Argentina,1713270,4726606,2006,Espumantes
Argentina,556320,1441196,2007,Espumantes
Argentina,1015357,3094003,2008,Espumantes
Argentina,894550,2730102,2009,Espumantes
Argentina,1086901,3583463,2010,Espumantes
Argentina,997492,3818944,2011,Espumantes
Argentina,963574,3985004,2012,Espumantes
Argentina,702963,2545215,2013,Espumantes
Argentina,807366,3221463,2014,Espumantes
Argentina,490536,1814349,2015,Espumantes
Argentina,358510,1240249,2016,Espumantes
Argentina,661857,2249681,2017,Espumantes
Argentina,706478,2462909,2018,Espumantes
