categoria,item,quantidade,ano,classificacao
BRANCAS,Cardinal,0,1970,Uvas de mesa
BRANCAS,Cardinal,0,1971,Uvas de mesa
BRANCAS,Cardinal,0,1972,Uvas de mesa
BRANCAS,Cardinal,0,1973,Uvas de mesa
BRANCAS,Cardinal,0,1974,Uvas de mesa
BRANCAS,Cardinal,0,1975,Uvas de mesa
BRANCAS,Cardinal,0,1976,Uvas de mesa
BRANCAS,Cardinal,0,1977,Uvas de mesa
BRANCAS,Cardinal,0,1978,Uvas de mesa
BRANCAS,Cardinal,0,1979,Uvas de mesa
BRANCAS,Cardinal,2235,1980,Uvas de mesa
BRANCAS,Cardinal,0,1981,Uvas de mesa
BRANCAS,Cardinal,0,1982,Uvas de mesa
BRANCAS,Cardinal,0,1983,Uvas de mesa
BRANCAS,Cardinal,0,1984,Uvas de mesa
BRANCAS,Cardinal,0,1985,Uvas de mesa
BRANCAS,Cardinal,0,1986,Uvas de mesa
BRANCAS,Cardinal,0,1987,Uvas de mesa
BRANCAS,Cardinal,0,1988,Uvas de mesa
BRANCAS,Cardinal,0,1989,Uvas de mesa
BRANCAS,Cardinal,0,1990,Uvas de mesa
BRANCAS,Cardinal,0,1991,Uvas de mesa
BRANCAS,Cardinal,0,1992,Uvas de mesa
BRANCAS,Cardinal,0,1993,Uvas de mesa
BRANCAS,Cardinal,0,1994,Uvas de mesa
BRANCAS,Cardinal,0,1995,Uvas de mesa
BRANCAS,Cardinal,0,1996,Uvas de mesa
BRANCAS,Cardinal,0,1997,Uvas de mesa
BRANCAS,Cardinal,0,1998,Uvas de mesa
BRANCAS,Cardinal,0,1999,Uvas de mesa
BRANCAS,Cardinal,0,2000,Uvas de mesa
BRANCAS,Cardinal,0,2001,Uvas de mesa
BRANCAS,Cardinal,0,2002,Uvas de mesa
BRANCAS,Cardinal,0,2003,Uvas de mesa
BRANCAS,Cardinal,0,2004,Uvas de mesa
BRANCAS,Cardinal,1620,2005,Uvas de mesa
BRANCAS,Cardinal,0,2006,Uvas de mesa
BRANCAS,Cardinal,0,2007,Uvas de mesa
BRANCAS,Cardinal,4610,2008,Uvas de mesa
BRANCAS,Cardinal,0,2009,Uvas de mesa
BRANCAS,Cardinal,0,2010,Uvas de mesa
BRANCAS,Cardinal,0,2011,Uvas de mesa
BRANCAS,Cardinal,0,2012,Uvas de mesa
BRANCAS,Cardinal,0,2013,Uvas de mesa
BRANCAS,Cardinal,0,2014,Uvas de mesa
BRANCAS,Cardinal,0,2015,Uvas de mesa
BRANCAS,Cardinal,0,2016,Uvas de mesa
BRANCAS,Cardinal,0,2017,Uvas de mesa
BRANCAS,Cardinal,0,2018,Uvas de mesa
BRANCAS,Cardinal,0,2019,Uvas de mesa
BRANCAS,Cardinal,0,2020,Uvas de mesa
BRANCAS,Cardinal,0,2021,Uvas de mesa
BRANCAS,Cardinal,0,2022,Uvas de mesa
BRANCAS,Cardinal,0,2023,Uvas de mesa
BRANCAS,Cardinal,0,2024,Uvas de mesa
BRANCAS,Golden Queen,167,1970,Uvas de mesa
BRANCAS,Golden Queen,8654,1971,Uvas de mesa
BRANCAS,Golden Queen,657,1972,Uvas de mesa
BRANCAS,Golden Queen,7312,1973,Uvas de mesa
BRANCAS,Golden Queen,8467,1974,Uvas de mesa
BRANCAS,Golden Queen,6805,1975,Uvas de mesa
BRANCAS,Golden Queen,0,1976,Uvas de mesa
BRANCAS,Golden Queen,2391,1977,Uvas de mesa
BRANCAS,Golden Queen,8715,1978,Uvas de mesa
BRANCAS,Golden Queen,2051,1979,Uvas de mesa
BRANCAS,Golden Queen,2765,1980,Uvas de mesa
BRANCAS,Golden Queen,0,1981,Uvas de mesa
BRANCAS,Golden Queen,0,1982,Uvas de mesa
BRANCAS,Golden Queen,0,1983,Uvas de mesa
BRANCAS,Golden Queen,1545,1984,Uvas de mesa
BRANCAS,Golden Queen,4921,1985,Uvas de mesa
BRANCAS,Golden Queen,3358,1986,Uvas de mesa
BRANCAS,Golden Queen,1321,1987,Uvas de mesa
BRANCAS,Golden Queen,0,1988,Uvas de mesa
BRANCAS,Golden Queen,0,1989,Uvas de mesa
BRANCAS,Golden Queen,0,1990,Uvas de mesa
BRANCAS,Golden Queen,0,1991,Uvas de mesa
BRANCAS,Golden Queen,0,1992,Uvas de mesa
BRANCAS,Golden Queen,0,1993,Uvas de mesa
BRANCAS,Golden Queen,0,1994,Uvas de mesa
BRANCAS,Golden Queen,0,1995,Uvas de mesa
BRANCAS,Golden Queen,0,1996,Uvas de mesa
BRANCAS,Golden Queen,0,1997,Uvas de mesa
BRANCAS,Golden Queen,0,1998,Uvas de mesa
BRANCAS,Golden Queen,0,1999,Uvas de mesa
BRANCAS,Golden Queen,0,2000,Uvas de mesa
BRANCAS,Golden Queen,0,2001,Uvas de mesa
BRANCAS,Golden Queen,0,2002,Uvas de mesa
BRANCAS,Golden Queen,0,2003,Uvas de mesa
BRANCAS,Golden Queen,0,2004,Uvas de mesa
BRANCAS,Golden Queen,0,2005,Uvas de mesa
BRANCAS,Golden Queen,0,2006,Uvas de mesa
BRANCAS,Golden Queen,0,2007,Uvas de mesa
BRANCAS,Golden Queen,0,2008,Uvas de mesa
BRANCAS,Golden Queen,0,2009,Uvas de mesa
BRANCAS,Golden Queen,0,2010,Uvas de mesa
BRANCAS,Golden Queen,0,2011,Uvas de mesa
BRANCAS,Golden Queen,0,2012,Uvas de mesa
BRANCAS,Golden Queen,0,2013,Uvas de mesa
BRANCAS,Golden Queen,0,2014,Uvas de mesa
BRANCAS,Golden Queen,0,2015,Uvas de mesa
BRANCAS,Golden Queen,0,2016,Uvas de mesa
BRANCAS,Golden Queen,0,2017,Uvas de mesa
BRANCAS,Golden Queen,0,2018,Uvas de mesa
BRANCAS,Golden Queen,0,2019,Uvas de mesa
BRANCAS,Golden Queen,0,2020,Uvas de mesa
BRANCAS,Golden Queen,0,2021,Uvas de mesa
BRANCAS,Golden Queen,0,2022,Uvas de mesa
BRANCAS,Golden Queen,0,2023,Uvas de mesa
BRANCAS,Golden Queen,0,2024,Uvas de mesa
BRANCAS,Italia,3733,1970,Uvas de mesa
BRANCAS,Italia,7681,1971,Uvas de mesa
BRANCAS,Italia,2145,1972,Uvas de mesa
BRANCAS,Italia,740,1973,Uvas de mesa
BRANCAS,Italia,268789,1974,Uvas de mesa
BRANCAS,Italia,579717,1975,Uvas de mesa
BRANCAS,Italia,152039,1976,Uvas de mesa
BRANCAS,Italia,227941,1977,Uvas de mesa
BRANCAS,Italia,235436,1978,Uvas de mesa
BRANCAS,Italia,134574,1979,Uvas de mesa
BRANCAS,Italia,59022,1980,Uvas de mesa
BRANCAS,Italia,36849,1981,Uvas de mesa
BRANCAS,Italia,39189,1982,Uvas de mesa
BRANCAS,Italia,14126,1983,Uvas de mesa
BRANCAS,Italia,1945,1984,Uvas de mesa
BRANCAS,Italia,5877,1985,Uvas de mesa
BRANCAS,Italia,18855,1986,Uvas de mesa
BRANCAS,Italia,4112,1987,Uvas de mesa
BRANCAS,Italia,0,1988,Uvas de mesa
BRANCAS,Italia,0,1989,Uvas de mesa
BRANCAS,Italia,0,1990,Uvas de mesa
BRANCAS,Italia,0,1991,Uvas de mesa
BRANCAS,Italia,0,1992,Uvas de mesa
BRANCAS,Italia,0,1993,Uvas de mesa
BRANCAS,Italia,0,1994,Uvas de mesa
BRANCAS,Italia,0,1995,Uvas de mesa
BRANCAS,Italia,0,1996,Uvas de mesa
BRANCAS,Italia,0,1997,Uvas de mesa
BRANCAS,Italia,0,1998,Uvas de mesa
BRANCAS,Italia,0,1999,Uvas de mesa
BRANCAS,Italia,0,2000,Uvas de mesa
BRANCAS,Italia,0,2001,Uvas de mesa
BRANCAS,Italia,0,2002,Uvas de mesa
BRANCAS,Italia,0,2003,Uvas de mesa
BRANCAS,Italia,33860,2004,Uvas de mesa
BRANCAS,Italia,1630,2005,Uvas de mesa
BRANCAS,Italia,3320,2006,Uvas de mesa
BRANCAS,Italia,5130,2007,Uvas de mesa
BRANCAS,Italia,2300,2008,Uvas de mesa
BRANCAS,Italia,0,2009,Uvas de mesa
BRANCAS,Italia,0,2010,Uvas de mesa
BRANCAS,Italia,0,2011,Uvas de mesa
BRANCAS,Italia,0,2012,Uvas de mesa
BRANCAS,Italia,0,2013,Uvas de mesa
BRANCAS,Italia,0,2014,Uvas de mesa
BRANCAS,Italia,0,2015,Uvas de mesa
BRANCAS,Italia,0,2016,Uvas de mesa
BRANCAS,Italia,0,2017,Uvas de mesa
BRANCAS,Italia,0,2018,Uvas de mesa
BRANCAS,Italia,0,2019,Uvas de mesa
BRANCAS,Italia,0,2020,Uvas de mesa
BRANCAS,Italia,0,2021,Uvas de mesa
BRANCAS,Italia,0,2022,Uvas de mesa
BRANCAS,Italia,0,2023,Uvas de mesa
BRANCAS,Italia,0,2024,Uvas de mesa
BRANCAS,Patrícia,0,1970,Uvas de mesa
BRANCAS,Patrícia,0,1971,Uvas de mesa
BRANCAS,Patrícia,0,1972,Uvas de mesa
BRANCAS,Patrícia,0,1973,Uvas de mesa
BRANCAS,Patrícia,0,1974,Uvas de mesa
BRANCAS,Patrícia,0,1975,Uvas de mesa
BRANCAS,Patrícia,0,1976,Uvas de mesa
BRANCAS,Patrícia,0,1977,Uvas de mesa
BRANCAS,Patrícia,0,1978,Uvas de mesa
BRANCAS,Patrícia,0,1979,Uvas de mesa
BRANCAS,Patrícia,0,1980,Uvas de mesa
BRANCAS,Patrícia,0,1981,Uvas de mesa
BRANCAS,Patrícia,0,1982,Uvas de mesa
BRANCAS,Patrícia,0,1983,Uvas de mesa
BRANCAS,Patrícia,0,1984,Uvas de mesa
BRANCAS,Patrícia,0,1985,Uvas de mesa
BRANCAS,Patrícia,0,1986,Uvas de mesa
BRANCAS,Patrícia,0,1987,Uvas de mesa
BRANCAS,Patrícia,0,1988,Uvas de mesa
BRANCAS,Patrícia,0,1989,Uvas de mesa
BRANCAS,Patrícia,0,1990,Uvas de mesa
BRANCAS,Patrícia,0,1991,Uvas de mesa
