categoria,item,quantidade,ano
DERIVADOS,Bagaceira,961290,1970
DERIVADOS,Bagaceira,913200,1971
DERIVADOS,Bagaceira,755350,1972
DERIVADOS,Bagaceira,661270,1973
DERIVADOS,Bagaceira,424620,1974
DERIVADOS,Bagaceira,576098,1975
DERIVADOS,Bagaceira,705912,1976
DERIVADOS,Bagaceira,828000,1977
DERIVADOS,Bagaceira,698200,1978
DERIVADOS,Bagaceira,938090,1979
DERIVADOS,Bagaceira,0,1980
DERIVADOS,Bagaceira,0,1981
DERIVADOS,Bagaceira,0,1982
DERIVADOS,Bagaceira,0,1983
DERIVADOS,Bagaceira,0,1984
DERIVADOS,Bagaceira,299500,1985
DERIVADOS,Bagaceira,156100,1986
DERIVADOS,Bagaceira,325600,1987
DERIVADOS,Bagaceira,29000,1988
DERIVADOS,Bagaceira,52000,1989
DERIVADOS,Bagaceira,55000,1990
DERIVADOS,Bagaceira,15000,1991
DERIVADOS,Bagaceira,10000,1992
DERIVADOS,Bagaceira,0,1993
DERIVADOS,Bagaceira,0,1994
DERIVADOS,Bagaceira,0,1995
DERIVADOS,Bagaceira,0,1996
DERIVADOS,Bagaceira,0,1997
DERIVADOS,Bagaceira,0,1998
DERIVADOS,Bagaceira,0,1999
DERIVADOS,Bagaceira,12700,2000
DERIVADOS,Bagaceira,10350,2001
DERIVADOS,Bagaceira,0,2002
DERIVADOS,Bagaceira,26800,2003
DERIVADOS,Bagaceira,66082,2004
DERIVADOS,Bagaceira,32050,2005
DERIVADOS,Bagaceira,24250,2006
DERIVADOS,Bagaceira,48500,2007
DERIVADOS,Bagaceira,8500,2008
DERIVADOS,Bagaceira,6500,2009
DERIVADOS,Bagaceira,0,2010
DERIVADOS,Bagaceira,0,2011
DERIVADOS,Bagaceira,0,2012
DERIVADOS,Bagaceira,0,2013
DERIVADOS,Bagaceira,0,2014
DERIVADOS,Bagaceira,1350,2015
DERIVADOS,Bagaceira,1000,2016
DERIVADOS,Bagaceira,900,2017
DERIVADOS,Bagaceira,2100,2018
DERIVADOS,Bagaceira,10495,2019
DERIVADOS,Bagaceira,0,2020
DERIVADOS,Bagaceira,12060,2021
DERIVADOS,Bagaceira,4998,2022
DERIVADOS,Bagaceira,0,2023
DERIVADOS,Bagaceira,0,2024
DERIVADOS,Base Champenoise champanha,0,1970
DERIVADOS,Base Champenoise champanha,0,1971
DERIVADOS,Base Champenoise champanha,0,1972
DERIVADOS,Base Champenoise champanha,0,1973
DERIVADOS,Base Champenoise champanha,0,1974
DERIVADOS,Base Champenoise champanha,0,1975
DERIVADOS,Base Champenoise champanha,0,1976
DERIVADOS,Base Champenoise champanha,0,1977
DERIVADOS,Base Champenoise champanha,0,1978
DERIVADOS,Base Champenoise champanha,0,1979
DERIVADOS,Base Champenoise champanha,0,1980
DERIVADOS,Base Champenoise champanha,0,1981
DERIVADOS,Base Champenoise champanha,0,1982
DERIVADOS,Base Champenoise champanha,0,1983
DERIVADOS,Base Champenoise champanha,0,1984
DERIVADOS,Base Champenoise champanha,0,1985
DERIVADOS,Base Champenoise champanha,0,1986
DERIVADOS,Base Champenoise champanha,0,1987
DERIVADOS,Base Champenoise champanha,0,1988
DERIVADOS,Base Champenoise champanha,0,1989
DERIVADOS,Base Champenoise champanha,0,1990
DERIVADOS,Base Champenoise champanha,0,1991
DERIVADOS,Base Champenoise champanha,0,1992
DERIVADOS,Base Champenoise champanha,0,1993
DERIVADOS,Base Champenoise champanha,0,1994
DERIVADOS,Base Champenoise champanha,0,1995
DERIVADOS,Base Champenoise champanha,0,1996
DERIVADOS,Base Champenoise champanha,0,1997
DERIVADOS,Base Champenoise champanha,0,1998
DERIVADOS,Base Champenoise champanha,0,1999
DERIVADOS,Base Champenoise champanha,0,2000
DERIVADOS,Base Champenoise champanha,0,2001
DERIVADOS,Base Champenoise champanha,0,2002
DERIVADOS,Base Champenoise champanha,0,2003
DERIVADOS,Base Champenoise champanha,0,2004
DERIVADOS,Base Champenoise champanha,0,2005
DERIVADOS,Base Champenoise champanha,0,2006
DERIVADOS,Base Champenoise champanha,0,2007
DERIVADOS,Base Champenoise champanha,0,2008
DERIVADOS,Base Champenoise champanha,0,2009
DERIVADOS,Base Champenoise champanha,92082,2010
DERIVADOS,Base Champenoise champanha,74746,2011
DERIVADOS,Base Champenoise champanha,369278,2012
DERIVADOS,Base Champenoise champanha,359617,2013
DERIVADOS,Base Champenoise champanha,234725,2014
DERIVADOS,Base Champenoise champanha,605001,2015
DERIVADOS,Base Champenoise champanha,740395,2016
DERIVADOS,Base Champenoise champanha,1552403,2017
DERIVADOS,Base Champenoise champanha,228518,2018
DERIVADOS,Base Champenoise champanha,274903,2019
DERIVADOS,Base Champenoise champanha,200777,2020
DERIVADOS,Base Champenoise champanha,0,2021
DERIVADOS,Base Champenoise champanha,1146717,2022
DERIVADOS,Base Champenoise champanha,1552243,2023
DERIVADOS,Base Champenoise champanha,0,2024
DERIVADOS,Base Charmat champanha,0,1970
DERIVADOS,Base Charmat champanha,0,1971
DERIVADOS,Base Charmat champanha,0,1972
DERIVADOS,Base Charmat champanha,0,1973
DERIVADOS,Base Charmat champanha,0,1974
DERIVADOS,Base Charmat champanha,0,1975
DERIVADOS,Base Charmat champanha,0,1976
DERIVADOS,Base Charmat champanha,0,1977
DERIVADOS,Base Charmat champanha,0,1978
DERIVADOS,Base Charmat champanha,0,1979
DERIVADOS,Base Charmat champanha,0,1980
DERIVADOS,Base Charmat champanha,0,1981
DERIVADOS,Base Charmat champanha,0,1982
DERIVADOS,Base Charmat champanha,0,1983
DERIVADOS,Base Charmat champanha,0,1984
DERIVADOS,Base Charmat champanha,0,1985
DERIVADOS,Base Charmat champanha,0,1986
DERIVADOS,Base Charmat champanha,0,1987
DERIVADOS,Base Charmat champanha,0,1988
DERIVADOS,Base Charmat champanha,0,1989
DERIVADOS,Base Charmat champanha,0,1990
DERIVADOS,Base Charmat champanha,0,1991
DERIVADOS,Base Charmat champanha,0,1992
DERIVADOS,Base Charmat champanha,0,1993
DERIVADOS,Base Charmat champanha,0,1994
DERIVADOS,Base Charmat champanha,0,1995
DERIVADOS,Base Charmat champanha,0,1996
DERIVADOS,Base Charmat champanha,0,1997
DERIVADOS,Base Charmat champanha,0,1998
DERIVADOS,Base Charmat champanha,0,1999
DERIVADOS,Base Charmat champanha,0,2000
DERIVADOS,Base Charmat champanha,0,2001
DERIVADOS,Base Charmat champanha,0,2002
DERIVADOS,Base Charmat champanha,0,2003
DERIVADOS,Base Charmat champanha,0,2004
DERIVADOS,Base Charmat champanha,0,2005
DERIVADOS,Base Charmat champanha,0,2006
DERIVADOS,Base Charmat champanha,0,2007
DERIVADOS,Base Charmat champanha,0,2008
DERIVADOS,Base Charmat champanha,0,2009
DERIVADOS,Base Charmat champanha,254000,2010
DERIVADOS,Base Charmat champanha,865858,2011
DERIVADOS,Base Charmat champanha,479625,2012
DERIVADOS,Base Charmat champanha,624728,2013
DERIVADOS,Base Charmat champanha,376968,2014
DERIVADOS,Base Charmat champanha,1466259,2015
DERIVADOS,Base Charmat champanha,250280,2016
DERIVADOS,Base Charmat champanha,893364,2017
DERIVADOS,Base Charmat champanha,1746540,2018
DERIVADOS,Base Charmat champanha,1188095,2019
DERIVADOS,Base Charmat champanha,2487939,2020
DERIVADOS,Base Charmat champanha,0,2021
DERIVADOS,Base Charmat champanha,4078766,2022
DERIVADOS,Base Charmat champanha,5418118,2023
DERIVADOS,Base Charmat champanha,0,2024
DERIVADOS,Base espumante,0,1970
DERIVADOS,Base espumante,0,1971
DERIVADOS,Base espumante,0,1972
DERIVADOS,Base espumante,0,1973
DERIVADOS,Base espumante,0,1974
DERIVADOS,Base espumante,0,1975
DERIVADOS,Base espumante,0,1976
DERIVADOS,Base espumante,0,1977
DERIVADOS,Base espumante,0,1978
DERIVADOS,Base espumante,0,1979
DERIVADOS,Base espumante,0,1980
DERIVADOS,Base espumante,0,1981
DERIVADOS,Base espumante,0,1982
DERIVADOS,Base espumante,0,1983
DERIVADOS,Base espumante,0,1984
DERIVADOS,Base espumante,0,1985
DERIVADOS,Base espumante,0,1986
DERIVADOS,Base espumante,0,1987
DERIVADOS,Base espumante,0,1988
DERIVADOS,Base espumante,0,1989
DERIVADOS,Base espumante,0,1990
DERIVADOS,Base espumante,0,1991
DERIVADOS,Base espumante,0,1992
DERIVADOS,Base espumante,0,1993
DERIVADOS,Base espumante,0,1994
DERIVADOS,Base espumante,0,1995
DERIVADOS,Base espumante,0,1996
DERIVADOS,Base espumante,0,1997
DERIVADOS,Base espumante,0,1998
DERIVADOS,Base espumante,0,1999
DERIVADOS,Base espumante,0,2000
DERIVADOS,Base espumante,0,2001
DERIVADOS,Base espumante,0,2002
DERIVADOS,Base espumante,0,2003
DERIVADOS,Base espumante,0,2004
DERIVADOS,Base espumante,239000,2005
DERIVADOS,Base espumante,0,2006
DERIVADOS,Base espumante,78250,2007
DERIVADOS,Base espumante,220120,2008
DERIVADOS,Base espumante,335850,2009
DERIVADOS,Base espumante,0,2010
DERIVADOS,Base espumante,0,2011
DERIVADOS,Base espumante,0,2012
DERIVADOS,Base espumante,0,2013
DERIVADOS,Base espumante,0,2014
DERIVADOS,Base espumante,0,2015
DERIVADOS,Base espumante,0,2016
DERIVADOS,Base espumante,0,2017
DERIVADOS,Base espumante,0,2018
DERIVADOS,Base espumante,0,2019
DERIVADOS,Base espumante,0,2020
DERIVADOS,Base espumante,5475049,2021
DERIVADOS,Base espumante,0,2022
DERIVADOS,Base espumante,0,2023
DERIVADOS,Base espumante,0,2024
DERIVADOS,Base espumante moscatel,0,1970
